"","AWD","RWD","Retail","Dealer","Engine","Cylinders","Horsepower","CityMPG","HighwayMPG","Weight","Wheelbase","Length","Width","Class"
"Kia Spectra",0,0,12360,11630,1.8,4,124,24,32,2661,101,178,68,"Sedan"
"Kia Spectra GS",0,0,13580,12830,1.8,4,124,24,32,2686,101,178,68,"Sedan"
"Kia Spectra GSX",0,0,14630,13790,1.8,4,124,24,32,2697,101,178,68,"Sedan"
"Land Rover Discovery SE",1,0,39250,35777,4.6,8,217,12,16,4576,100,185,74,"SUV"
"Land Rover Freelander SE",1,0,25995,23969,2.5,6,174,18,21,3577,101,175,71,"SUV"
"Land Rover Range Rover HSE",1,0,72250,65807,4.4,8,282,12,16,5379,113,195,76,"SUV"
"Lexus ES 330",0,0,32350,28755,3.3,6,225,20,29,3460,107,191,71,"Sedan"
"Lexus GS 300",0,1,41010,36196,3,6,220,18,25,3649,110,189,71,"Sedan"
"Lexus GS 430",0,1,48450,42232,4.3,8,300,18,23,3715,110,189,71,"Sedan"
"Lexus GX 470",1,0,45700,39838,4.7,8,235,15,19,4740,110,188,74,"SUV"
"Lexus IS 300 manual",0,1,31045,27404,3,6,215,18,25,3255,105,177,68,"Sedan"
"Lexus IS 300 auto",0,1,32415,28611,3,6,215,18,24,3285,105,177,68,"Sedan"
"Lexus IS 300 SportCross",0,1,32455,28647,3,6,215,18,24,3410,105,177,68,"Wagon"
"Lexus LS 430",0,1,55750,48583,4.3,8,290,18,25,3990,115,197,72,"Sedan"
"Lexus LX 470",1,0,64800,56455,4.7,8,235,13,17,5590,112,193,76,"SUV"
"Lexus SC 430",0,1,63200,55063,4.3,8,300,18,23,3840,103,178,72,"Sports"
"Lexus RX 330",1,0,39195,34576,3.3,6,230,18,24,4065,107,186,73,"SUV"
"Lincoln Aviator Ultimate",0,0,42915,39443,4.6,8,302,13,18,4834,114,193,76,"SUV"
"Lincoln LS V6 Luxury",0,1,32495,29969,3,6,232,20,26,3681,115,194,73,"Sedan"
"Lincoln LS V6 Premium",0,1,36895,33929,3,6,232,20,26,3681,115,194,73,"Sedan"
"Lincoln LS V8 Sport",0,1,40095,36809,3.9,8,280,17,24,3768,115,194,73,"Sedan"
"Lincoln LS V8 Ultimate",0,1,43495,39869,3.9,8,280,17,24,3768,115,194,73,"Sedan"
"Lincoln Navigator Luxury",1,0,52775,46360,5.4,8,300,13,18,5969,119,206,80,"SUV"
"Lincoln Town Car Signature",0,1,41815,38418,4.6,8,239,17,25,4369,118,215,78,"Sedan"
"Lincoln Town Car Ultimate",0,1,44925,41217,4.6,8,239,17,25,4369,118,215,78,"Sedan"
"Lincoln Town Car Ultimate L",0,1,50470,46208,4.6,8,239,17,25,4474,124,221,78,"Sedan"
"Mazda6 i",0,0,19270,17817,2.3,4,160,24,32,3042,105,187,70,"Sedan"
"Mazda MPV ES",0,0,28750,26600,3,6,200,18,25,3812,112,188,72,"Minivan"
"Mazda MX-5 Miata",0,1,22388,20701,1.8,4,142,23,28,2387,89,156,66,"Sports"
"Mazda MX-5 Miata LS",0,1,25193,23285,1.8,4,142,23,28,2387,89,156,66,"Sports"
"Mazda Tribute DX 2.0",1,0,21087,19742,2,4,130,22,25,3091,103,173,72,"SUV"
"Mercedes-Benz C32 AMG",0,1,52120,48522,3.2,6,349,16,21,3540,107,178,68,"Sedan"
"Mercedes-Benz C230 Sport",0,1,26060,24249,1.8,4,189,22,30,3250,107,178,68,"Sedan"
"Mercedes-Benz C240",0,1,33780,31466,2.6,6,168,19,25,3470,107,179,68,"Wagon"
"Mercedes-Benz C240 RWD",0,1,32280,30071,2.6,6,168,20,25,3360,107,178,68,"Sedan"
"Mercedes-Benz C240 AWD",1,0,33480,31187,2.6,6,168,19,25,3360,107,178,68,"Sedan"
"Mercedes-Benz C320",0,1,37630,35046,3.2,6,215,20,26,3450,107,178,68,"Sedan"
"Mercedes-Benz C320 Sport two-door",0,1,28370,26435,3.2,6,215,19,26,3430,107,178,68,"Sedan"
"Mercedes-Benz C320 Sport four-door",0,1,35920,33456,3.2,6,215,19,26,3430,107,178,68,"Sedan"
"Mercedes-Benz CL500",0,1,94820,88324,5,8,302,16,24,4085,114,196,73,"Sedan"
"Mercedes-Benz CL600",0,1,128420,119600,5.5,12,493,13,19,4473,114,196,73,"Sedan"
"Mercedes-Benz CLK320",0,1,45707,41966,3.2,6,215,20,26,3770,107,183,69,"Sedan"
"Mercedes-Benz CLK500",0,1,52800,49104,5,8,302,17,22,3585,107,183,69,"Sedan"
"Mercedes-Benz E320",0,1,50670,47174,3.2,6,221,19,27,3966,112,190,71,"Wagon"
"Mercedes-Benz E320 four-door",0,1,48170,44849,3.2,6,221,19,27,3635,112,190,71,"Sedan"
"Mercedes-Benz E500",1,0,60670,56474,5,8,302,16,24,4230,112,190,71,"Wagon"
"Mercedes-Benz E500 four-door",0,1,57270,53382,5,8,302,16,20,3815,112,190,71,"Sedan"
"Mercedes-Benz G500",1,0,76870,71540,5,8,292,13,14,5423,112,186,71,"SUV"
"Mercedes-Benz ML500",1,0,46470,43268,5,8,288,14,17,4874,111,183,72,"SUV"
"Mercedes-Benz S430",0,1,74320,69168,4.3,8,275,18,26,4160,122,203,73,"Sedan"
"Mercedes-Benz S500",1,0,86970,80939,5,8,302,16,24,4390,122,203,73,"Sedan"
"Mercedes-Benz SL500",0,1,90520,84325,5,8,302,16,23,4065,101,179,72,"Sports"
"Mercedes-Benz SL55 AMG",0,1,121770,113388,5.5,8,493,14,21,4235,101,179,72,"Sports"
"Mercedes-Benz SL600",0,1,126670,117854,5.5,12,493,13,19,4429,101,179,72,"Sports"
"Mercedes-Benz SLK230",0,1,40320,37548,2.3,4,192,21,29,3055,95,158,68,"Sports"
"Mercedes-Benz SLK32 AMG",0,1,56170,52289,3.2,6,349,17,22,3220,95,158,68,"Sports"
"Mercury Grand Marquis GS",0,1,24695,23217,4.6,8,224,17,25,4052,115,212,78,"Sedan"
"Mercury Grand Marquis LS Premium",0,1,29595,27148,4.6,8,224,17,25,4052,115,212,78,"Sedan"
"Mercury Grand Marquis LS Ultimate",0,1,30895,28318,4.6,8,224,17,25,4052,115,212,78,"Sedan"
"Mercury Marauder",0,1,34495,31558,4.6,8,302,17,23,4195,115,212,78,"Sedan"
"Mercury Monterey Luxury",0,0,33995,30846,4.2,6,201,16,23,4340,121,202,77,"Minivan"
"Mercury Mountaineer",0,0,29995,27317,4,6,210,16,21,4374,114,190,72,"SUV"
"Mercury Sable GS",0,0,22595,20748,3,6,155,19,26,3488,109,198,73,"Wagon"
"Mercury Sable GS four-door",0,0,21595,19848,3,6,155,20,27,3308,109,200,73,"Sedan"
"Mercury Sable LS Premium",0,0,23895,21918,3,6,201,19,26,3315,109,200,73,"Sedan"
"Mini Cooper",0,0,16999,15437,1.6,4,115,28,37,2524,97,143,67,"Sedan"
"Mini Cooper S",0,0,19999,18137,1.6,4,163,25,34,2678,97,144,67,"Sedan"
"Mitsubishi Diamante LS",0,0,29282,27250,3.5,6,205,18,25,3549,107,194,70,"Sedan"
"Mitsubishi Eclipse GTS",0,0,25092,23456,3,6,210,21,28,3241,101,177,69,"Sports"
"Mitsubishi Eclipse Spyder GT",0,0,26992,25218,3,6,210,21,28,3296,101,177,69,"Sports"
"Mitsubishi Endeavor",1,0,30492,28330,3.8,6,215,17,21,4134,109,190,74,"SUV"
"Mitsubishi Galant",0,0,25700,23883,3.8,6,230,18,26,3649,108,191,72,"Sedan"
"Mitsubishi Lancer Evolution",0,0,29562,27466,2,4,271,18,26,3263,103,179,70,"Sports"
"Mitsubishi Montero",1,0,33112,30763,3.8,6,215,15,19,4718,110,190,75,"SUV"
"Mitsubishi Outlander",0,0,18892,17569,2.4,4,160,21,27,3240,103,179,69,"SUV"
"Nissan 350Z",0,1,26910,25203,3.5,6,287,20,26,3188,104,169,72,"Sports"
"Nissan 350Z Enthusiast",0,1,34390,31845,3.5,6,287,20,26,3428,104,169,72,"Sports"
"Nissan Altima S",0,0,19240,18030,2.5,4,175,21,26,3039,110,192,70,"Sedan"
"Nissan Altima SE",0,0,23290,21580,3.5,6,245,21,26,3197,110,192,70,"Sedan"
"Nissan Maxima SE",0,0,27490,25182,3.5,6,265,20,28,3473,111,194,72,"Sedan"
"Nissan Maxima SL",0,0,29440,26966,3.5,6,265,20,28,3476,111,194,72,"Sedan"
"Nissan Murano",0,1,28739,27300,3.5,6,245,20,25,3801,111,188,74,"Wagon"
"Nissan Pathfinder SE",0,0,27339,25972,3.5,6,240,16,21,3871,106,183,72,"SUV"
"Nissan Pathfinder Armada SE",0,0,33840,30815,5.6,8,305,13,19,5013,123,207,79,"SUV"
"Nissan Quest S",0,0,24780,22958,3.5,6,240,19,26,4012,124,204,78,"Minivan"
"Nissan Quest SE",0,0,32780,30019,3.5,6,240,18,25,4175,124,204,78,"Minivan"
"Nissan Sentra 1.8",0,0,12740,12205,1.8,4,126,28,35,2513,100,178,67,"Sedan"
"Nissan Sentra 1.8 S",0,0,14740,13747,1.8,4,126,28,35,2581,100,178,67,"Sedan"
"Nissan Sentra SE-R",0,0,17640,16444,2.5,4,165,23,28,2761,100,178,67,"Sedan"
"Nissan Xterra XE",0,0,20939,19512,3.3,6,180,17,20,3760,104,178,70,"SUV"
"Oldsmobile Alero GLS",0,0,23675,21485,3.4,6,170,20,29,3085,107,187,70,"Sedan"
"Oldsmobile Alero GX",0,0,18825,17642,2.2,4,140,24,32,2946,107,187,70,"Sedan"
"Oldsmobile Silhouette GL",0,0,28790,26120,3.4,6,185,19,26,3948,120,201,72,"Minivan"
"Pontiac Aztekt",0,0,21595,19810,3.4,6,185,19,26,3779,108,182,74,"SUV"
"Porsche Cayenne S",1,0,56665,49865,4.5,8,340,14,18,4950,112,188,76,"SUV"
"Pontiac Grand Am GT",0,0,22450,20595,3.4,6,175,20,29,3118,107,186,70,"Sedan"
"Pontiac Grand Prix GT1",0,0,22395,20545,3.8,6,200,20,30,3477,111,198,74,"Sedan"
"Pontiac Grand Prix GT2",0,0,24295,22284,3.8,6,200,20,30,3484,111,198,74,"Sedan"
"Pontiac Montana",0,0,23845,21644,3.4,6,185,19,26,3803,112,187,72,"Minivan"
"Pontiac Montana EWB",1,0,31370,28454,3.4,6,185,18,24,4431,121,201,72,"Minivan"
"Pontiac Sunfire 1SA",0,0,15495,14375,2.2,4,140,24,33,2771,104,182,68,"Sedan"
"Pontiac Sunfire 1SC",0,0,17735,16369,2.2,4,140,24,33,2771,104,182,68,"Sedan"
"Pontiac Vibe",0,1,17045,15973,1.8,4,130,29,36,2701,102,172,70,"Wagon"
"Porsche 911 Carrera",0,1,79165,69229,3.6,6,315,18,26,3135,93,175,70,"Sports"
"Porsche 911 Carrera 4S",1,0,84165,72206,3.6,6,315,17,24,3240,93,175,72,"Sports"
"Porsche 911 Targa",0,1,76765,67128,3.6,6,315,18,26,3119,93,175,70,"Sports"
"Porsche 911 GT2",0,1,192465,173560,3.6,6,477,17,24,3131,93,175,72,"Sports"
"Porsche Boxster",0,1,43365,37886,2.7,6,228,20,29,2811,95,170,70,"Sports"
"Porsche Boxster S",0,1,52365,45766,3.2,6,258,18,26,2911,95,170,70,"Sports"
"Saab 9-3 Arc",0,0,40670,38520,2,4,210,21,29,3480,105,182,69,"Sedan"
"Saab 9-3 Arc Sport",0,0,30860,29269,2,4,210,20,28,3175,105,183,69,"Sedan"
"Saab 9-3 Aero",0,0,33360,31562,2,4,210,20,28,3175,105,183,69,"Sedan"
"Saab 9-3 Aero convertible",0,0,43175,40883,2,4,210,21,30,3700,105,182,69,"Sedan"
"Saab 9-5 Arc",0,0,35105,33011,2.3,4,220,21,29,3470,106,190,71,"Sedan"
"Saab 9-5 Aero",0,0,40845,38376,2.3,4,250,19,29,3620,106,190,71,"Wagon"
"Saab 9-5 Aero four-door",0,0,39465,37721,2.3,4,250,21,29,3470,106,190,71,"Sedan"
"Saturn Ion1",0,0,10995,10319,2.2,4,140,26,35,2692,103,185,67,"Sedan"
"Saturn Ion2",0,0,14300,13393,2.2,4,140,26,35,2692,103,185,67,"Sedan"
"Saturn Ion2 quad coupe",0,0,14850,13904,2.2,4,140,26,35,2751,103,185,68,"Sedan"
"Saturn Ion3",0,0,15825,14811,2.2,4,140,26,35,2692,103,185,67,"Sedan"
"Saturn Ion3 quad coupe",0,0,16350,15299,2.2,4,140,26,35,2751,103,185,68,"Sedan"
"Saturn L300",0,0,23560,21779,2.2,4,140,24,34,3109,107,190,69,"Minivan"
"Saturn L300-2",0,0,21410,19801,3,6,182,20,28,3197,107,190,69,"Sedan"
"Saturn VUE",1,0,20585,19238,2.2,4,143,21,26,3381,107,181,72,"SUV"
"Scion xA",0,0,12965,12340,1.5,4,108,32,38,2340,93,154,67,"Sedan"
"Scion xB",0,0,14165,13480,1.5,4,108,31,35,2425,98,155,67,"Wagon"
"Subaru Forester",1,0,21445,19646,2.5,4,165,21,28,3090,99,175,68,"Wagon"
"Subaru Impreza 2.5 RS",1,0,19945,18399,2.5,4,165,22,28,2965,99,174,69,"Sedan"
"Subaru Impreza WRX",1,0,25045,23022,2,4,227,20,27,3085,99,174,69,"Sports"
"Subaru Impreza WRX STi",1,0,31545,29130,2.5,4,300,18,24,3263,100,174,69,"Sports"
"Subaru Legacy GT",1,0,25645,23336,2.5,4,165,21,28,3395,104,184,69,"Sedan"
"Subaru Legacy L",1,0,20445,18713,2.5,4,165,21,28,3285,104,184,69,"Sedan"
"Subaru Outback",1,0,23895,21773,2.5,4,165,21,28,3430,104,187,69,"Wagon"
"Subaru Outback Limited Sedan",1,0,27145,24687,2.5,4,165,20,27,3495,104,184,69,"Sedan"
"Subaru Outback H6",1,0,29345,26660,3,6,212,19,26,3610,104,184,69,"Sedan"
"Subaru Outback H-6 VDC",1,0,31545,28603,3,6,212,19,26,3630,104,184,69,"Sedan"
"Suzuki Aeno S",0,0,12884,12719,2.3,4,155,25,31,2676,98,171,68,"Sedan"
"Suzuki Aerio LX",0,0,14500,14317,2.3,4,155,25,31,2676,98,171,68,"Sedan"
"Suzuki Aerio SX",1,0,16497,16291,2.3,4,155,24,29,2932,98,167,68,"Wagon"
"Suzuki Forenza S",0,0,12269,12116,2,4,119,24,31,2701,102,177,68,"Sedan"
"Suzuki Forenza EX",0,0,15568,15378,2,4,119,22,30,2756,102,177,68,"Sedan"
"Suzuki Verona LX",0,0,17262,17053,2.5,6,155,20,27,3380,106,188,72,"Sedan"
"Suzuki Vitara LX",1,0,17163,16949,2.5,6,165,19,22,3020,98,163,67,"SUV"
"Suzuki XL-7 EX",0,0,23699,22307,2.7,6,185,18,22,3682,110,187,70,"SUV"
"Toyota 4Runner SR5 V6",0,0,27710,24801,4,6,245,18,21,4035,110,189,74,"SUV"
"Toyota Avalon XL",0,0,26560,23693,3,6,210,21,29,3417,107,192,72,"Sedan"
"Toyota Avalon XLS",0,0,30920,27271,3,6,210,21,29,3439,107,192,72,"Sedan"
"Toyota Camry LE",0,0,19560,17558,2.4,4,157,24,33,3086,107,189,71,"Sedan"
"Toyota Camry LE V6",0,0,22775,20325,3,6,210,21,29,3296,107,189,71,"Sedan"
"Toyota Camry XLE V6",0,0,25920,23125,3,6,210,21,29,3362,107,189,71,"Sedan"
"Toyota Camry Solara SE",0,0,19635,17722,2.4,4,157,24,33,3175,107,193,72,"Sedan"
"Toyota Camry Solara SE V6",0,0,21965,19819,3.3,6,225,20,29,3417,107,193,72,"Sedan"
"Toyota Camry Solara SLE V6 two-door",0,0,26510,23908,3.3,6,225,20,29,3439,107,193,72,"Sedan"
"Toyota Celica",0,0,22570,20363,1.8,4,180,24,33,2500,102,171,68,"Sports"
"Toyota Corolla CE",0,0,14085,13065,1.8,4,130,32,40,2502,102,178,67,"Sedan"
"Toyota Corolla S",0,0,15030,13650,1.8,4,130,32,40,2524,102,178,67,"Sedan"
"Toyota Corolla LE",0,0,15295,13889,1.8,4,130,32,40,2524,102,178,67,"Sedan"
"Toyota Echo two-door manual",0,0,10760,10144,1.5,4,108,35,43,2035,93,163,65,"Sedan"
"Toyota Echo two-door auto",0,0,11560,10896,1.5,4,108,33,39,2085,93,163,65,"Sedan"
"Toyota Echo four-door",0,0,11290,10642,1.5,4,108,35,43,2055,93,163,65,"Sedan"
"Toyota Highlander V6",1,0,27930,24915,3.3,6,230,18,24,3935,107,185,72,"SUV"
"Toyota Land Cruiser",1,0,54765,47986,4.7,8,325,13,17,5390,112,193,76,"SUV"
"Toyota Matrix",0,0,16695,15156,1.8,4,130,29,36,2679,102,171,70,"Wagon"
"Toyota MR2 Spyder",0,1,25130,22787,1.8,4,138,26,32,2195,97,153,67,"Sports"
"Toyota Prius",0,0,20510,18926,1.5,4,110,59,51,2890,106,175,68,"Sedan"
"Toyota RAV4",1,0,20290,18553,2.4,4,161,22,27,3119,98,167,68,"SUV"
"Toyota Sequoia SR5",1,0,35695,31827,4.7,8,240,14,17,5270,118,204,78,"SUV"
"Toyota Sienna CE",0,0,23495,21198,3.3,6,230,19,27,4120,119,200,77,"Minivan"
"Toyota Sienna XLE",0,0,28800,25690,3.3,6,230,19,27,4165,119,200,77,"Minivan"
"Volkswagen Golf",0,0,18715,17478,2,4,115,24,31,2897,99,165,68,"Sedan"
"Volkswagen GTI",0,0,19825,18109,1.8,4,180,24,31,2934,99,168,68,"Sedan"
"Volkswagen Jetta GL",0,0,19005,17427,2,4,115,24,30,3034,99,174,68,"Wagon"
"Volkswagen Jetta GLI",0,0,23785,21686,2.8,6,200,21,30,3179,99,172,68,"Sedan"
"Volkswagen Jetta GLS",0,0,21055,19638,1.9,4,100,38,46,3003,99,172,68,"Sedan"
"Volkswagen New Beetle GLS 1.8T",0,0,21055,19638,1.8,4,150,24,31,2820,99,161,68,"Sedan"
"Volkswagen New Beetle GLS convertible",0,0,23215,21689,2,4,115,24,30,3082,99,161,68,"Sedan"
"Volkswagen Passat GLS",0,0,24955,22801,1.8,4,170,22,31,3338,106,184,69,"Wagon"
"Volkswagen Passat GLS four-door",0,0,23955,21898,1.8,4,170,22,31,3241,106,185,69,"Sedan"
"Volkswagen Passat GLX V6 4MOTION four-door",0,0,33180,30583,2.8,6,190,19,26,3721,106,185,69,"Sedan"
"Volkswagen Passat W8",0,0,40235,36956,4,8,270,18,25,4067,106,184,69,"Wagon"
"Volkswagen Passat W8 4MOTION",0,0,39235,36052,4,8,270,18,25,3953,106,185,69,"Sedan"
"Volkswagen Touareg V6",1,0,35515,32243,3.2,6,220,15,20,5086,112,187,76,"SUV"
"Volvo C70 LPT",0,0,40565,38203,2.4,5,197,21,28,3450,105,186,72,"Sedan"
"Volvo C70 HPT",0,0,42565,40083,2.3,5,242,20,26,3450,105,186,72,"Sedan"
"Volvo S40",0,0,25135,23701,1.9,4,170,22,29,2767,101,178,68,"Sedan"
"Volvo S60 2.5",1,0,31745,29916,2.5,5,208,20,27,3903,107,180,71,"Sedan"
"Volvo S60 T5",0,0,34845,32902,2.3,5,247,20,28,3766,107,180,71,"Sedan"
"Volvo S60 R",1,0,37560,35382,2.5,5,300,18,25,3571,107,181,71,"Sedan"
"Volvo S80 2.5T",1,0,37885,35688,2.5,5,194,20,27,3691,110,190,72,"Sedan"
"Volvo S80 2.9",0,0,37730,35542,2.9,6,208,20,28,3576,110,190,72,"Sedan"
"Volvo S80 T6",0,0,45210,42573,2.9,6,268,19,26,3653,110,190,72,"Sedan"
"Volvo V40",0,0,26135,24641,1.9,4,170,22,29,2822,101,180,68,"Wagon"
"Volvo XC70",1,0,35145,33112,2.5,5,208,20,27,3823,109,186,73,"Wagon"
"Volvo XC90 T6",1,0,41250,38851,2.9,6,268,15,20,4638,113,189,75,"SUV"
