"city","price","vol","disp"
"Houston",2.48,6834,"yes"
"Detroit",2.75,5505,"no"
"Dallas",2.92,3201,"no"
"Atlanta",2.89,4099,"yes"
"Cincinnati",2.69,5568,"no"
"Indianapolis",2.67,4134,"yes"
"Nashville",2.88,2669,"yes"
"Louisville",2.7,2403,"yes"
"Columbus",2.65,3352,"yes"
"Birmingham",2.65,1613,"yes"
"Roanoke",2.72,4011,"no"
"Houston",2.46,6847,"yes"
"Detroit",2.75,4010,"no"
"Dallas",2.92,3230,"no"
"Atlanta",2.97,4651,"no"
"Cincinnati",2.65,5091,"no"
"Indianapolis",2.66,3524,"yes"
"Nashville",2.83,2439,"yes"
"Louisville",2.68,3242,"yes"
"Columbus",1.72,11942,"yes"
"Birmingham",2.65,1728,"yes"
"Roanoke",2.7,4336,"yes"
"Houston",2.44,8010,"yes"
"Detroit",2.75,3945,"no"
"Dallas",2.92,3082,"no"
"Atlanta",2.94,4090,"yes"
"Cincinnati",2.65,5545,"no"
"Indianapolis",2.68,3378,"yes"
"Nashville",2.81,2413,"yes"
"Louisville",2.68,3120,"yes"
"Columbus",2.65,4572,"yes"
"Birmingham",2.65,1416,"yes"
"Roanoke",2.77,3737,"yes"
"Houston",2.44,13066,"yes"
"Detroit",2.81,3630,"no"
"Dallas",3.73,3047,"no"
"Atlanta",2.38,8076,"yes"
"Cincinnati",2.65,6201,"no"
"Indianapolis",2.66,3882,"yes"
"Nashville",2.83,2810,"yes"
"Louisville",2.69,3154,"yes"
"Columbus",2,13588,"yes"
"Birmingham",2.65,1618,"no"
"Roanoke",2.89,4433,"yes"
"Houston",2.44,10467,"yes"
"Detroit",2.75,4386,"no"
"Dallas",3.73,2240,"yes"
"Atlanta",2.41,9017,"yes"
"Cincinnati",2.89,5546,"no"
"Indianapolis",2.65,3517,"yes"
"Nashville",2.12,4272,"yes"
"Louisville",2.68,3734,"yes"
"Columbus",2.65,5153,"yes"
"Birmingham",2.16,2183,"no"
"Roanoke",2.45,5923,"no"
"Houston",2.38,8937,"yes"
"Detroit",2.69,4574,"no"
"Dallas",3.73,2158,"no"
"Atlanta",2.34,8984,"yes"
"Cincinnati",2.9,5167,"no"
"Indianapolis",2.65,3991,"yes"
"Nashville",2.12,5121,"yes"
"Louisville",2.69,4811,"yes"
"Columbus",2.65,5131,"yes"
"Birmingham",2.16,1894,"no"
"Roanoke",2.46,5702,"no"
"Houston",2.42,13536,"yes"
"Detroit",2.45,6389,"yes"
"Dallas",2.65,7010,"yes"
"Atlanta",2.38,8395,"yes"
"Cincinnati",2.39,5610,"no"
"Indianapolis",2.65,3801,"yes"
"Nashville",2.19,4815,"yes"
"Louisville",2.69,3346,"yes"
"Columbus",1.99,11903,"yes"
"Birmingham",2.15,2233,"yes"
"Roanoke",2.48,4843,"yes"
"Houston",2.44,13675,"yes"
"Detroit",2.49,4861,"no"
"Dallas",2.67,4740,"yes"
"Atlanta",2.39,7286,"yes"
"Cincinnati",2.42,5103,"yes"
"Indianapolis",2.65,3219,"yes"
"Nashville",2.12,4000,"yes"
"Louisville",2.68,3445,"yes"
"Columbus",2.65,7112,"yes"
"Birmingham",2.14,2276,"yes"
"Roanoke",2.45,5640,"yes"
"Houston",2.47,11749,"yes"
"Detroit",2.74,4198,"no"
"Dallas",2.65,3415,"yes"
"Atlanta",2.36,6438,"yes"
"Cincinnati",2.87,4425,"yes"
"Indianapolis",2.65,3217,"yes"
"Nashville",2.23,4142,"yes"
"Louisville",2.69,4100,"yes"
"Columbus",3.05,3733,"yes"
"Birmingham",2.15,1952,"yes"
"Roanoke",2.43,5797,"yes"
"Houston",2.47,11938,"yes"
"Detroit",2.7,3561,"no"
"Dallas",3.12,2242,"yes"
"Atlanta",2.44,6672,"yes"
"Cincinnati",2.9,3882,"yes"
"Indianapolis",2.65,3277,"yes"
"Nashville",2.65,3414,"yes"
"Louisville",2.8,799,"yes"
"Columbus",3.05,2299,"no"
"Birmingham",2.62,1594,"no"
"Roanoke",2.46,5299,"yes"
"Houston",2.49,9016,"yes"
"Detroit",2.72,4361,"yes"
"Dallas",3.1,1824,"no"
"Atlanta",2.38,6086,"yes"
"Cincinnati",2.91,3915,"yes"
"Indianapolis",2.65,3839,"yes"
"Nashville",2.57,3160,"yes"
"Louisville",2.69,2018,"yes"
"Columbus",3.05,3378,"no"
"Birmingham",2.63,1376,"no"
"Roanoke",2.47,4747,"yes"
"Houston",2.48,7165,"no"
"Detroit",2.74,4533,"no"
"Dallas",3.11,2380,"no"
"Atlanta",2.42,5834,"yes"
"Cincinnati",2.92,4362,"yes"
"Indianapolis",2.65,3642,"yes"
"Nashville",2.58,2923,"yes"
"Louisville",2.7,2515,"yes"
"Columbus",3.45,2958,"no"
"Birmingham",2.62,1396,"no"
"Roanoke",2.45,5377,"yes"
"Houston",2.48,7311,"no"
"Detroit",2.73,4439,"yes"
"Dallas",3.15,2679,"no"
"Atlanta",3.38,3754,"yes"
"Cincinnati",2.9,4639,"yes"
"Indianapolis",2.65,3768,"yes"
"Nashville",2.59,2936,"yes"
"Louisville",2.7,2576,"yes"
"Columbus",3.4,2389,"no"
"Birmingham",2.62,1407,"yes"
"Roanoke",2.46,4361,"yes"
"Houston",2.49,7553,"no"
"Detroit",2.73,4530,"no"
"Dallas",3.73,2623,"no"
"Atlanta",3.18,3749,"yes"
"Cincinnati",3.01,4257,"yes"
"Indianapolis",2.65,3658,"yes"
"Nashville",2,4561,"yes"
"Louisville",2.72,2231,"yes"
"Columbus",2.21,10323,"yes"
"Birmingham",2.02,2083,"yes"
"Roanoke",2.48,5319,"yes"
"Houston",2.48,7923,"no"
"Detroit",2.73,4370,"no"
"Dallas",3.73,1979,"no"
"Atlanta",3.15,4040,"yes"
"Cincinnati",3.01,4067,"yes"
"Indianapolis",2.65,3402,"yes"
"Nashville",2.05,4412,"yes"
"Louisville",2.69,1910,"yes"
"Columbus",3.17,3771,"yes"
"Birmingham",2.02,2156,"yes"
"Roanoke",2.47,4209,"yes"
"Houston",2.49,9606,"no"
"Detroit",2.71,5280,"no"
"Dallas",2.65,2588,"no"
"Atlanta",3.15,4126,"yes"
"Cincinnati",3.03,3910,"yes"
"Indianapolis",2.65,3732,"yes"
"Nashville",2.01,4557,"yes"
"Louisville",2.71,2411,"yes"
"Columbus",3.19,2318,"yes"
"Birmingham",2.05,1981,"no"
"Roanoke",2.5,4298,"yes"
"Houston",2.43,14127,"yes"
"Detroit",2.74,3998,"no"
"Dallas",3.74,2214,"no"
"Atlanta",3.14,4035,"no"
"Cincinnati",3.05,3387,"yes"
"Indianapolis",2.65,3581,"yes"
"Nashville",2.91,2595,"yes"
"Louisville",2.72,2303,"yes"
"Columbus",3.19,2149,"yes"
"Birmingham",2.6,1550,"yes"
"Roanoke",2.47,3461,"yes"
"Houston",2.45,12107,"yes"
"Detroit",2.72,5144,"no"
"Dallas",3.73,1519,"no"
"Atlanta",3.38,3894,"no"
"Cincinnati",2.65,4913,"yes"
"Indianapolis",2.65,2998,"yes"
"Nashville",2.83,2447,"yes"
"Louisville",2.69,2538,"yes"
"Columbus",2.92,3731,"yes"
"Birmingham",2.61,1486,"yes"
"Roanoke",2.47,4320,"yes"
"Houston",2.71,8185,"no"
"Detroit",2.74,4439,"no"
"Dallas",3.61,1846,"no"
"Atlanta",3.39,3641,"no"
"Cincinnati",2.65,6429,"yes"
"Indianapolis",2.65,3237,"yes"
"Nashville",2.65,3092,"yes"
"Louisville",2.71,2666,"yes"
"Columbus",2.79,2504,"yes"
"Birmingham",2.72,1400,"yes"
"Roanoke",2.53,4551,"yes"
"Houston",2.74,7434,"no"
"Detroit",2.75,4411,"no"
"Dallas",3.6,1851,"no"
"Atlanta",3.41,3237,"no"
"Cincinnati",2.65,6609,"yes"
"Indianapolis",2.65,3264,"yes"
"Nashville",2.05,4485,"yes"
"Louisville",2.71,2556,"yes"
"Columbus",2.79,2568,"yes"
"Birmingham",2.07,1691,"no"
"Roanoke",2.77,2707,"yes"
"Houston",2.72,6911,"yes"
"Detroit",2.73,5246,"no"
"Dallas",3.73,1624,"no"
"Atlanta",3.42,3089,"no"
"Cincinnati",2.65,6292,"yes"
"Indianapolis",2.65,3722,"yes"
"Nashville",2.04,5106,"yes"
"Louisville",2.7,2917,"no"
"Columbus",2.79,2445,"yes"
"Birmingham",2.1,1761,"no"
"Roanoke",2.9,3146,"yes"
"Houston",2.82,5579,"yes"
"Detroit",2.73,4947,"yes"
"Dallas",3.73,1345,"no"
"Atlanta",3.03,3590,"no"
"Cincinnati",2.65,5140,"yes"
"Indianapolis",2.65,3819,"yes"
"Nashville",2.03,4284,"yes"
"Louisville",2.69,2555,"yes"
"Columbus",2.79,2399,"yes"
"Birmingham",2.04,1795,"no"
"Roanoke",2.94,3269,"yes"
"Houston",3.83,3699,"yes"
"Detroit",2.74,4907,"no"
"Dallas",3.73,1237,"no"
"Atlanta",3.01,3524,"yes"
"Cincinnati",2.68,5250,"yes"
"Indianapolis",2.65,4223,"yes"
"Nashville",2.25,3723,"yes"
"Louisville",2.71,2367,"yes"
"Columbus",2.79,2500,"yes"
"Birmingham",2.28,1720,"no"
"Roanoke",2.45,6504,"yes"
"Houston",2.52,7046,"yes"
"Detroit",2.73,4420,"no"
"Dallas",2.65,4168,"yes"
"Atlanta",3.03,3937,"no"
"Cincinnati",2.65,6917,"yes"
"Indianapolis",2.65,5361,"yes"
"Nashville",2.25,4162,"yes"
"Louisville",2.7,2669,"yes"
"Columbus",2.79,2240,"yes"
"Birmingham",2.27,1887,"no"
"Roanoke",2.5,4256,"no"
"Houston",2.49,11757,"yes"
"Detroit",2.73,4789,"yes"
"Dallas",3.73,3883,"yes"
"Atlanta",3.02,4116,"no"
"Cincinnati",2.65,6351,"yes"
"Indianapolis",2.65,5201,"yes"
"Nashville",2.23,4324,"yes"
"Louisville",2.72,2681,"no"
"Columbus",2.79,2403,"yes"
"Birmingham",2.39,2006,"yes"
"Roanoke",2.5,5061,"yes"
"Houston",2.49,11983,"yes"
"Detroit",2.74,4910,"no"
"Dallas",3.64,3003,"yes"
"Atlanta",3.03,3727,"no"
"Cincinnati",2.66,6686,"yes"
"Indianapolis",2.65,5368,"yes"
"Nashville",2.25,4244,"yes"
"Louisville",2.72,2986,"yes"
"Columbus",2.65,5132,"yes"
"Birmingham",2.38,1834,"yes"
"Roanoke",2.48,6196,"yes"
"Houston",2.51,9964,"yes"
"Detroit",2.74,4344,"no"
"Dallas",3.61,2535,"yes"
"Atlanta",3.04,4455,"no"
"Cincinnati",3.08,6858,"yes"
"Indianapolis",2.65,5730,"yes"
"Nashville",2.25,4404,"yes"
"Louisville",2.73,2637,"yes"
"Columbus",2.79,4023,"yes"
"Birmingham",2.38,1892,"yes"
"Roanoke",2.33,10747,"yes"
"Houston",2.5,11775,"yes"
"Detroit",2.75,4581,"no"
"Dallas",3.66,2157,"yes"
"Atlanta",3.05,3982,"no"
"Cincinnati",3.06,3988,"yes"
"Indianapolis",2.65,5643,"yes"
"Nashville",2.25,4310,"yes"
"Louisville",2.7,3089,"yes"
"Columbus",2.79,2871,"yes"
"Birmingham",2.39,1860,"yes"
"Roanoke",2.51,5881,"yes"
"Houston",2.46,14534,"yes"
"Detroit",2.71,10863,"yes"
"Dallas",3.05,2401,"yes"
"Atlanta",3.1,3845,"no"
"Cincinnati",3.04,5076,"yes"
"Indianapolis",2.65,4821,"yes"
"Nashville",2.25,4693,"yes"
"Louisville",2.01,9866,"yes"
"Columbus",3.1,2432,"yes"
"Birmingham",2.25,2015,"yes"
"Roanoke",2.45,7456,"yes"
"Houston",2.47,13834,"yes"
"Detroit",2.71,7815,"yes"
"Dallas",3.05,2517,"yes"
"Atlanta",3.02,4133,"no"
"Cincinnati",3.04,4887,"yes"
"Indianapolis",2.65,5377,"yes"
"Nashville",2.25,4592,"yes"
"Louisville",2.05,7431,"yes"
"Columbus",3.1,3424,"yes"
"Birmingham",2.25,1959,"yes"
"Roanoke",2.48,6928,"yes"
"Houston",2.45,13951,"yes"
"Detroit",2.72,5748,"yes"
"Dallas",2.65,2456,"no"
"Atlanta",3.35,3712,"no"
"Cincinnati",3.01,4901,"yes"
"Indianapolis",2.65,4545,"yes"
"Nashville",2.27,4212,"yes"
"Louisville",2.44,4618,"yes"
"Columbus",3.59,2314,"no"
"Birmingham",2.25,1859,"yes"
"Roanoke",2.48,7534,"yes"
"Houston",2.7,10752,"yes"
"Detroit",2.73,4842,"no"
"Dallas",2.65,3635,"no"
"Atlanta",3.36,3526,"no"
"Cincinnati",2.99,5258,"yes"
"Indianapolis",2.65,3998,"yes"
"Nashville",2.25,4608,"yes"
"Louisville",2.63,2721,"yes"
"Columbus",2.39,9987,"yes"
"Birmingham",2.25,1918,"no"
"Roanoke",2.49,5403,"yes"
"Houston",2.71,8726,"yes"
"Detroit",2.73,5110,"no"
"Dallas",3.73,3267,"no"
"Atlanta",3.35,3256,"no"
"Cincinnati",3.08,5458,"yes"
"Indianapolis",2.65,3997,"yes"
"Nashville",1.99,4437,"yes"
"Louisville",2.97,3090,"yes"
"Columbus",2.39,11164,"yes"
"Birmingham",2.03,2091,"no"
"Roanoke",2.48,5397,"yes"
"Houston",2.72,9029,"yes"
"Detroit",2.77,4680,"no"
"Dallas",3.74,1978,"no"
"Atlanta",3.42,3200,"no"
"Cincinnati",2.39,12952,"yes"
"Indianapolis",2.65,4448,"yes"
"Nashville",1.99,4756,"yes"
"Louisville",2.69,2528,"no"
"Columbus",2.39,7842,"yes"
"Birmingham",2.03,2319,"no"
"Roanoke",2.54,5667,"yes"
"Houston",2.72,8530,"yes"
"Detroit",3.02,3411,"no"
"Dallas",3.71,2071,"no"
"Atlanta",3.41,3481,"no"
"Cincinnati",2.39,9506,"yes"
"Indianapolis",2.65,4084,"yes"
"Nashville",1.99,4336,"yes"
"Louisville",2.7,2409,"yes"
"Columbus",2.4,5550,"yes"
"Birmingham",2.03,2190,"no"
"Roanoke",2.69,5317,"yes"
"Houston",2.7,7621,"yes"
"Detroit",2.89,3980,"no"
"Dallas",2.45,5219,"yes"
"Atlanta",2.49,5159,"no"
"Cincinnati",2.39,6796,"yes"
"Indianapolis",2.65,3872,"yes"
"Nashville",2.94,3064,"no"
"Louisville",2.44,3185,"yes"
"Columbus",2.4,4997,"no"
"Birmingham",2.65,1722,"no"
"Roanoke",2.62,4876,"yes"
"Houston",2.7,8103,"yes"
"Detroit",2.76,4098,"no"
"Dallas",2.83,5523,"yes"
"Atlanta",2.43,5627,"no"
"Cincinnati",2.8,6972,"yes"
"Indianapolis",2.8,3124,"no"
"Nashville",2.72,3160,"no"
"Louisville",2.42,3109,"yes"
"Columbus",2.39,4254,"yes"
"Birmingham",2.8,1449,"no"
"Roanoke",2.52,4990,"yes"
"Houston",2.77,8203,"no"
"Detroit",2.43,10887,"yes"
"Dallas",2.43,7334,"yes"
"Atlanta",2.4,6414,"yes"
"Cincinnati",2.67,7268,"yes"
"Indianapolis",2.96,3207,"no"
"Nashville",2.72,3475,"no"
"Louisville",2.67,2103,"yes"
"Columbus",2.39,4551,"yes"
"Birmingham",2.62,1617,"no"
"Roanoke",2.47,4982,"yes"
"Houston",2.77,8439,"no"
"Detroit",2.54,7199,"yes"
"Dallas",2.47,6480,"yes"
"Atlanta",2.49,5470,"yes"
"Cincinnati",2.61,6778,"yes"
"Indianapolis",2.95,3001,"no"
"Nashville",2.25,4130,"yes"
"Louisville",2.42,2796,"yes"
"Columbus",2.39,7373,"yes"
"Birmingham",2.27,2043,"yes"
"Roanoke",2.47,5798,"yes"
"Houston",2.76,8206,"no"
"Detroit",2.52,6656,"yes"
"Dallas",2.5,4656,"yes"
"Atlanta",2.4,6725,"yes"
"Cincinnati",2.57,7216,"yes"
"Indianapolis",3.12,3109,"no"
"Nashville",2.25,4503,"yes"
"Louisville",2.44,2853,"no"
"Columbus",2.39,5809,"yes"
"Birmingham",2.41,1995,"yes"
"Roanoke",2.45,5127,"no"
"Houston",2.77,8191,"no"
"Detroit",2.51,5583,"no"
"Dallas",2.43,6874,"yes"
"Atlanta",2.4,6344,"no"
"Cincinnati",2.58,6822,"yes"
"Indianapolis",3.16,2329,"no"
"Nashville",2.27,4415,"yes"
"Louisville",2.71,3180,"no"
"Columbus",2.36,5088,"yes"
"Birmingham",2.4,2287,"yes"
"Roanoke",2.45,4885,"no"
"Houston",2.45,13392,"yes"
"Detroit",2.58,5416,"no"
"Dallas",2.43,8229,"yes"
"Atlanta",2.48,5740,"yes"
"Cincinnati",2.62,6195,"yes"
"Indianapolis",3.08,2778,"no"
"Nashville",2.25,4446,"yes"
"Louisville",2.68,2884,"no"
"Columbus",2.39,4416,"yes"
"Birmingham",2.36,2227,"no"
"Roanoke",2.45,4520,"no"
"Houston",3.78,9638,"yes"
"Detroit",2.52,5928,"yes"
"Dallas",2.42,8541,"yes"
"Atlanta",2.47,5796,"yes"
"Cincinnati",2.6,7602,"yes"
"Indianapolis",3.09,2942,"no"
"Nashville",2.25,4335,"yes"
"Louisville",2.46,3290,"no"
"Columbus",2.36,4324,"yes"
"Birmingham",2.37,2199,"no"
"Roanoke",2.44,4621,"no"
"Houston",2.78,7832,"yes"
"Detroit",2.46,6011,"yes"
"Dallas",2.42,7250,"yes"
"Atlanta",2.37,6815,"yes"
"Cincinnati",2.68,5948,"no"
"Indianapolis",2.76,3216,"yes"
"Nashville",2.25,3994,"yes"
"Louisville",2.42,3601,"no"
"Columbus",2.36,3670,"no"
"Birmingham",2.35,2154,"no"
"Roanoke",2.44,5113,"yes"
"Houston",2.77,9950,"yes"
"Detroit",2.52,6250,"no"
"Dallas",2.41,9019,"yes"
"Atlanta",2.41,6170,"yes"
"Cincinnati",2.61,6877,"no"
"Indianapolis",2.62,3458,"yes"
"Nashville",2.25,3651,"yes"
"Louisville",2.47,3383,"yes"
"Columbus",2.39,3408,"no"
"Birmingham",2.32,1984,"no"
"Roanoke",2.46,4674,"yes"
"Houston",2.76,8372,"yes"
"Detroit",2.54,5337,"no"
"Dallas",2.41,8817,"yes"
"Atlanta",2.42,5842,"yes"
"Cincinnati",2.7,6128,"yes"
"Indianapolis",2.59,3260,"yes"
"Nashville",2.25,3510,"yes"
"Louisville",2.44,3258,"yes"
"Columbus",2.39,3508,"no"
"Birmingham",2.33,2272,"no"
"Roanoke",2.43,4579,"yes"
"Houston",2.48,12622,"yes"
"Detroit",3.15,3839,"no"
"Dallas",2.42,8142,"yes"
"Atlanta",2.42,5932,"no"
"Cincinnati",2.63,7757,"yes"
"Indianapolis",2.45,3773,"yes"
"Nashville",2.25,3681,"yes"
"Louisville",2.47,3326,"yes"
"Columbus",2.39,3884,"no"
"Birmingham",2.33,1956,"no"
"Roanoke",2.43,4913,"yes"
"Houston",2.65,13070,"yes"
"Detroit",3.32,3372,"no"
"Dallas",2.43,7143,"yes"
"Atlanta",2.42,6124,"yes"
"Cincinnati",2.62,8104,"yes"
"Indianapolis",2.42,4812,"yes"
"Nashville",2.25,4155,"yes"
"Louisville",2.68,3084,"yes"
"Columbus",2.39,3397,"no"
"Birmingham",2.32,1961,"no"
"Roanoke",2.45,5304,"yes"
"Houston",2.75,9807,"yes"
"Detroit",3.25,2845,"no"
"Dallas",2.42,7471,"yes"
"Atlanta",3.27,4341,"yes"
"Cincinnati",2.62,8993,"yes"
"Indianapolis",2.41,6362,"yes"
"Nashville",2.25,4367,"yes"
"Louisville",2.45,4085,"yes"
"Columbus",2.39,3337,"no"
"Birmingham",2.26,2257,"no"
"Roanoke",2.44,4774,"yes"
"Houston",2.75,8328,"yes"
"Detroit",3.35,2693,"no"
"Dallas",2.42,6984,"yes"
"Atlanta",3.21,3299,"yes"
"Cincinnati",2.62,8412,"yes"
"Indianapolis",2.43,5775,"yes"
"Nashville",2.93,2786,"yes"
"Louisville",2.53,3342,"yes"
"Columbus",2.39,2921,"no"
"Birmingham",2.73,1788,"no"
"Roanoke",2.43,4312,"yes"
"Houston",2.73,8408,"no"
"Detroit",3.28,2961,"no"
"Dallas",2.44,5115,"yes"
"Atlanta",2.58,4437,"yes"
"Cincinnati",2.63,8201,"yes"
"Indianapolis",2.39,7011,"yes"
"Nashville",2.91,2281,"yes"
"Louisville",2.48,2788,"yes"
"Columbus",2.39,3430,"no"
"Birmingham",2.73,1757,"no"
"Roanoke",2.43,5109,"yes"
"Houston",2.75,10371,"no"
"Detroit",2.47,6243,"no"
"Dallas",2.44,4239,"yes"
"Atlanta",2.53,5413,"yes"
"Cincinnati",2.64,8599,"yes"
"Indianapolis",2.4,5807,"yes"
"Nashville",2.39,3822,"yes"
"Louisville",2.46,4295,"yes"
"Columbus",2.39,3621,"no"
"Birmingham",2.48,1889,"no"
"Roanoke",2.42,5761,"yes"
"Houston",2.74,9797,"no"
"Detroit",3.29,3908,"yes"
"Dallas",2.43,5170,"yes"
"Atlanta",2.59,5838,"yes"
"Cincinnati",3.02,5699,"no"
"Indianapolis",2.41,4807,"yes"
"Nashville",2.39,4096,"yes"
"Louisville",2.45,4549,"yes"
"Columbus",2.39,3498,"no"
"Birmingham",2.39,1945,"no"
"Roanoke",2.42,6184,"yes"
"Houston",2.75,10355,"no"
"Detroit",3.37,3325,"yes"
"Dallas",2.44,6321,"yes"
"Atlanta",2.56,5832,"no"
"Cincinnati",2.98,7217,"yes"
"Indianapolis",2.41,5431,"yes"
"Nashville",2.39,4667,"yes"
"Louisville",2.47,5660,"yes"
"Columbus",2.39,3511,"no"
"Birmingham",2.39,2684,"yes"
"Roanoke",2.41,6842,"yes"
"Houston",2.74,7888,"no"
"Detroit",3.39,2219,"no"
"Dallas",2.44,3528,"yes"
"Atlanta",2.57,4312,"no"
"Cincinnati",2.99,4099,"yes"
"Indianapolis",2.39,4219,"yes"
"Nashville",2.39,3688,"yes"
"Louisville",2.46,2624,"yes"
"Columbus",2.39,3097,"no"
"Birmingham",2.39,1977,"yes"
"Roanoke",2.43,4751,"yes"
"Houston",2.74,11318,"no"
"Detroit",3.36,3312,"no"
"Dallas",2.43,5468,"yes"
"Atlanta",3.33,4022,"no"
"Cincinnati",2.98,5516,"yes"
"Indianapolis",2.39,5529,"yes"
"Nashville",2.52,4957,"yes"
"Louisville",2.47,4581,"yes"
"Columbus",2.39,4308,"no"
"Birmingham",2.52,2223,"yes"
"Roanoke",2.43,6314,"yes"
"Houston",2.46,13768,"yes"
"Detroit",2.84,3047,"no"
"Dallas",2.45,5506,"yes"
"Atlanta",3.41,3613,"no"
"Cincinnati",2.65,6284,"no"
"Indianapolis",2.39,4762,"yes"
"Nashville",2.52,4219,"yes"
"Louisville",2.47,3544,"yes"
"Columbus",2.39,3526,"no"
"Birmingham",2.52,1941,"yes"
"Roanoke",2.53,4941,"yes"
"Houston",2.7,13136,"yes"
"Detroit",2.65,3309,"no"
"Dallas",2.44,5091,"yes"
"Atlanta",2.7,6118,"no"
"Cincinnati",2.65,7051,"yes"
"Indianapolis",2.39,5406,"yes"
"Nashville",2.39,4272,"yes"
"Louisville",2.44,4725,"yes"
"Columbus",2.39,4190,"yes"
"Birmingham",2.39,2036,"yes"
"Roanoke",2.81,3685,"no"
"Houston",2.73,9385,"yes"
"Detroit",2.36,5864,"yes"
"Dallas",2.41,8952,"yes"
"Atlanta",2.69,6099,"yes"
"Cincinnati",2.65,6843,"yes"
"Indianapolis",2.4,5108,"yes"
"Nashville",2.39,4283,"yes"
"Louisville",2.42,4424,"yes"
"Columbus",2.39,8495,"yes"
"Birmingham",2.39,2195,"yes"
"Roanoke",2.92,3543,"no"
"Houston",2.73,8864,"yes"
"Detroit",2.57,3939,"no"
"Dallas",2.41,8759,"yes"
"Atlanta",2.68,6080,"yes"
"Cincinnati",2.65,8669,"no"
"Indianapolis",2.39,4572,"yes"
"Nashville",2.39,4787,"yes"
"Louisville",2.42,4339,"yes"
"Columbus",2.39,5105,"yes"
"Birmingham",2.39,2139,"no"
"Roanoke",2.67,4878,"no"
"Houston",2.75,8938,"yes"
"Detroit",2.81,3811,"no"
"Dallas",2.44,5771,"yes"
"Atlanta",2.66,6495,"yes"
"Cincinnati",2.65,6923,"yes"
"Indianapolis",2.39,4384,"yes"
"Nashville",2.39,4901,"yes"
"Louisville",2.43,3977,"yes"
"Columbus",2.39,3496,"yes"
"Birmingham",2.39,2111,"no"
"Roanoke",2.54,3621,"yes"
"Detroit",3.21,2974,"no"
"Indianapolis",2.39,4031,"yes"
"Nashville",2.39,4243,"yes"
"Birmingham",2.39,1738,"no"
"Roanoke",2.5,3881,"yes"
"Detroit",3.43,2762,"no"
"Indianapolis",2.39,3969,"yes"
"Nashville",2.97,3142,"yes"
"Birmingham",2.65,1790,"no"
"Roanoke",2.49,3634,"yes"
"Detroit",3.47,3635,"no"
"Indianapolis",2.39,3940,"yes"
"Nashville",2.39,4684,"yes"
"Birmingham",2.39,2409,"no"
"Roanoke",2.47,5532,"yes"
"Detroit",3.31,3064,"no"
"Indianapolis",2.39,3564,"yes"
"Nashville",2.39,4576,"yes"
"Birmingham",2.39,2041,"no"
"Roanoke",2.44,4680,"yes"
"Detroit",3.59,2606,"no"
"Indianapolis",2.39,3600,"yes"
"Nashville",2.39,4234,"yes"
"Birmingham",2.39,2098,"no"
"Roanoke",2.48,4106,"yes"
"Detroit",3.48,2984,"no"
"Indianapolis",2.39,3690,"yes"
"Nashville",2.97,2549,"yes"
"Birmingham",2.65,1603,"no"
"Roanoke",2.47,4077,"yes"
"Detroit",2.98,3483,"no"
"Indianapolis",2.39,3709,"yes"
"Nashville",2.9,2428,"yes"
"Birmingham",2.65,1400,"no"
"Roanoke",2.47,3791,"yes"
