"crossing","week","total_bikes"
"39th Ave NE Greenway at NE 62nd St",1,1227
"39th Ave NE Greenway at NE 62nd St",2,1402
"39th Ave NE Greenway at NE 62nd St",3,1209
"39th Ave NE Greenway at NE 62nd St",4,1413
"39th Ave NE Greenway at NE 62nd St",5,1550
"39th Ave NE Greenway at NE 62nd St",6,1383
"39th Ave NE Greenway at NE 62nd St",7,1075
"39th Ave NE Greenway at NE 62nd St",8,1600
"39th Ave NE Greenway at NE 62nd St",9,1432
"39th Ave NE Greenway at NE 62nd St",10,1319
"39th Ave NE Greenway at NE 62nd St",11,1439
"39th Ave NE Greenway at NE 62nd St",12,1592
"39th Ave NE Greenway at NE 62nd St",13,1797
"39th Ave NE Greenway at NE 62nd St",14,2336
"39th Ave NE Greenway at NE 62nd St",15,1837
"39th Ave NE Greenway at NE 62nd St",16,2294
"39th Ave NE Greenway at NE 62nd St",17,1954
"39th Ave NE Greenway at NE 62nd St",18,2354
"39th Ave NE Greenway at NE 62nd St",19,2447
"39th Ave NE Greenway at NE 62nd St",20,2029
"39th Ave NE Greenway at NE 62nd St",21,2129
"39th Ave NE Greenway at NE 62nd St",22,1889
"39th Ave NE Greenway at NE 62nd St",23,2173
"39th Ave NE Greenway at NE 62nd St",24,1990
"39th Ave NE Greenway at NE 62nd St",25,1904
"39th Ave NE Greenway at NE 62nd St",26,1860
"39th Ave NE Greenway at NE 62nd St",27,1753
"39th Ave NE Greenway at NE 62nd St",28,2136
"39th Ave NE Greenway at NE 62nd St",29,2138
"39th Ave NE Greenway at NE 62nd St",30,2066
"39th Ave NE Greenway at NE 62nd St",31,2036
"39th Ave NE Greenway at NE 62nd St",32,1890
"39th Ave NE Greenway at NE 62nd St",33,1959
"39th Ave NE Greenway at NE 62nd St",34,2002
"39th Ave NE Greenway at NE 62nd St",35,2035
"39th Ave NE Greenway at NE 62nd St",36,1718
"39th Ave NE Greenway at NE 62nd St",37,2238
"39th Ave NE Greenway at NE 62nd St",38,1976
"39th Ave NE Greenway at NE 62nd St",39,2166
"39th Ave NE Greenway at NE 62nd St",40,1476
"39th Ave NE Greenway at NE 62nd St",41,940
"39th Ave NE Greenway at NE 62nd St",42,746
"39th Ave NE Greenway at NE 62nd St",43,911
"39th Ave NE Greenway at NE 62nd St",44,798
"39th Ave NE Greenway at NE 62nd St",45,900
"39th Ave NE Greenway at NE 62nd St",46,676
"39th Ave NE Greenway at NE 62nd St",47,552
"39th Ave NE Greenway at NE 62nd St",48,562
"39th Ave NE Greenway at NE 62nd St",49,453
"39th Ave NE Greenway at NE 62nd St",50,328
"39th Ave NE Greenway at NE 62nd St",51,316
"39th Ave NE Greenway at NE 62nd St",52,291
"39th Ave NE Greenway at NE 62nd St",53,92
"Broadway Cycle Track North Of E Union St",1,1386
"Broadway Cycle Track North Of E Union St",2,1583
"Broadway Cycle Track North Of E Union St",3,1437
"Broadway Cycle Track North Of E Union St",4,1660
"Broadway Cycle Track North Of E Union St",5,1796
"Broadway Cycle Track North Of E Union St",6,1923
"Broadway Cycle Track North Of E Union St",7,1521
"Broadway Cycle Track North Of E Union St",8,1866
"Broadway Cycle Track North Of E Union St",9,1710
"Broadway Cycle Track North Of E Union St",10,1770
"Broadway Cycle Track North Of E Union St",11,1801
"Broadway Cycle Track North Of E Union St",12,1842
"Broadway Cycle Track North Of E Union St",13,2175
"Broadway Cycle Track North Of E Union St",14,2761
"Broadway Cycle Track North Of E Union St",15,2407
"Broadway Cycle Track North Of E Union St",16,2843
"Broadway Cycle Track North Of E Union St",17,2412
"Broadway Cycle Track North Of E Union St",18,2984
"Broadway Cycle Track North Of E Union St",19,3052
"Broadway Cycle Track North Of E Union St",20,2555
"Broadway Cycle Track North Of E Union St",21,2694
"Broadway Cycle Track North Of E Union St",22,2316
"Broadway Cycle Track North Of E Union St",23,2825
"Broadway Cycle Track North Of E Union St",24,2471
"Broadway Cycle Track North Of E Union St",25,2548
"Broadway Cycle Track North Of E Union St",26,2802
"Broadway Cycle Track North Of E Union St",27,2336
"Broadway Cycle Track North Of E Union St",28,2900
"Broadway Cycle Track North Of E Union St",29,2746
"Broadway Cycle Track North Of E Union St",30,2768
"Broadway Cycle Track North Of E Union St",31,2847
"Broadway Cycle Track North Of E Union St",32,2714
"Broadway Cycle Track North Of E Union St",33,2709
"Broadway Cycle Track North Of E Union St",34,2548
"Broadway Cycle Track North Of E Union St",35,2454
"Broadway Cycle Track North Of E Union St",36,1924
"Broadway Cycle Track North Of E Union St",37,2737
"Broadway Cycle Track North Of E Union St",38,2497
"Broadway Cycle Track North Of E Union St",39,2790
"Broadway Cycle Track North Of E Union St",40,2542
"Broadway Cycle Track North Of E Union St",41,2238
"Broadway Cycle Track North Of E Union St",42,1757
"Broadway Cycle Track North Of E Union St",43,2055
"Broadway Cycle Track North Of E Union St",44,1928
"Broadway Cycle Track North Of E Union St",45,2320
"Broadway Cycle Track North Of E Union St",46,2138
"Broadway Cycle Track North Of E Union St",47,1717
"Broadway Cycle Track North Of E Union St",48,1759
"Broadway Cycle Track North Of E Union St",49,1573
"Broadway Cycle Track North Of E Union St",50,1379
"Broadway Cycle Track North Of E Union St",51,1282
"Broadway Cycle Track North Of E Union St",52,587
"Broadway Cycle Track North Of E Union St",53,14
"Burke Gilman Trail",1,3161
"Burke Gilman Trail",2,3801
"Burke Gilman Trail",3,2781
"Burke Gilman Trail",4,3650
"Burke Gilman Trail",5,4079
"Burke Gilman Trail",6,5178
"Burke Gilman Trail",7,3456
"Burke Gilman Trail",8,5824
"Burke Gilman Trail",9,4470
"Burke Gilman Trail",10,4648
"Burke Gilman Trail",11,4408
"Burke Gilman Trail",12,5928
"Burke Gilman Trail",13,8750
"Burke Gilman Trail",14,11547
"Burke Gilman Trail",15,9457
"Burke Gilman Trail",16,13648
"Burke Gilman Trail",17,7788
"Burke Gilman Trail",18,12885
"Burke Gilman Trail",19,13982
"Burke Gilman Trail",20,9657
"Burke Gilman Trail",21,10645
"Burke Gilman Trail",22,11371
"Burke Gilman Trail",23,13798
"Burke Gilman Trail",24,10993
"Burke Gilman Trail",25,11321
"Burke Gilman Trail",26,13765
"Burke Gilman Trail",27,12746
"Burke Gilman Trail",28,13091
"Burke Gilman Trail",29,12223
"Burke Gilman Trail",30,12734
"Burke Gilman Trail",31,12396
"Burke Gilman Trail",32,11280
"Burke Gilman Trail",33,14496
"Burke Gilman Trail",34,11372
"Burke Gilman Trail",35,9947
"Burke Gilman Trail",36,8040
"Burke Gilman Trail",37,10446
"Burke Gilman Trail",38,7446
"Burke Gilman Trail",39,8225
"Burke Gilman Trail",40,6582
"Burke Gilman Trail",41,5149
"Burke Gilman Trail",42,3021
"Burke Gilman Trail",43,5120
"Burke Gilman Trail",44,4419
"Burke Gilman Trail",45,5752
"Burke Gilman Trail",46,4001
"Burke Gilman Trail",47,3030
"Burke Gilman Trail",48,3539
"Burke Gilman Trail",49,2480
"Burke Gilman Trail",50,1867
"Burke Gilman Trail",51,2263
"Burke Gilman Trail",52,2005
"Burke Gilman Trail",53,732
"Elliot Bay Trail",1,4122
"Elliot Bay Trail",2,4859
"Elliot Bay Trail",3,3860
"Elliot Bay Trail",4,4862
"Elliot Bay Trail",5,5044
"Elliot Bay Trail",6,5953
"Elliot Bay Trail",7,4279
"Elliot Bay Trail",8,6707
"Elliot Bay Trail",9,5335
"Elliot Bay Trail",10,5108
"Elliot Bay Trail",11,5356
"Elliot Bay Trail",12,5828
"Elliot Bay Trail",13,9093
"Elliot Bay Trail",14,10614
"Elliot Bay Trail",15,8984
"Elliot Bay Trail",16,12609
"Elliot Bay Trail",17,8368
"Elliot Bay Trail",18,14912
"Elliot Bay Trail",19,14143
"Elliot Bay Trail",20,10287
"Elliot Bay Trail",21,10296
"Elliot Bay Trail",22,10434
"Elliot Bay Trail",23,12726
"Elliot Bay Trail",24,10365
"Elliot Bay Trail",25,10327
"Elliot Bay Trail",26,12166
"Elliot Bay Trail",27,9945
"Elliot Bay Trail",28,11547
"Elliot Bay Trail",29,12407
"Elliot Bay Trail",30,11952
"Elliot Bay Trail",31,7753
"Elliot Bay Trail",32,10832
"Elliot Bay Trail",33,11915
"Elliot Bay Trail",34,9675
"Elliot Bay Trail",35,9538
"Elliot Bay Trail",36,7674
"Elliot Bay Trail",37,10854
"Elliot Bay Trail",38,8795
"Elliot Bay Trail",39,9343
"Elliot Bay Trail",40,7394
"Elliot Bay Trail",41,5996
"Elliot Bay Trail",42,4434
"Elliot Bay Trail",43,6003
"Elliot Bay Trail",44,5503
"Elliot Bay Trail",45,6862
"Elliot Bay Trail",46,5346
"Elliot Bay Trail",47,3720
"Elliot Bay Trail",48,4410
"Elliot Bay Trail",49,3578
"Elliot Bay Trail",50,3215
"Elliot Bay Trail",51,3251
"Elliot Bay Trail",52,2028
"Elliot Bay Trail",53,585
"NW 58th St Greenway at 22nd Ave",1,498
"NW 58th St Greenway at 22nd Ave",2,584
"NW 58th St Greenway at 22nd Ave",3,510
"NW 58th St Greenway at 22nd Ave",4,643
"NW 58th St Greenway at 22nd Ave",5,654
"NW 58th St Greenway at 22nd Ave",6,742
"NW 58th St Greenway at 22nd Ave",7,512
"NW 58th St Greenway at 22nd Ave",8,683
"NW 58th St Greenway at 22nd Ave",9,638
"NW 58th St Greenway at 22nd Ave",10,578
"NW 58th St Greenway at 22nd Ave",11,621
"NW 58th St Greenway at 22nd Ave",12,617
"NW 58th St Greenway at 22nd Ave",13,1051
"NW 58th St Greenway at 22nd Ave",14,1206
"NW 58th St Greenway at 22nd Ave",15,1018
"NW 58th St Greenway at 22nd Ave",16,1432
"NW 58th St Greenway at 22nd Ave",17,903
"NW 58th St Greenway at 22nd Ave",18,1363
"NW 58th St Greenway at 22nd Ave",19,1402
"NW 58th St Greenway at 22nd Ave",20,1093
"NW 58th St Greenway at 22nd Ave",21,1117
"NW 58th St Greenway at 22nd Ave",22,1053
"NW 58th St Greenway at 22nd Ave",23,1426
"NW 58th St Greenway at 22nd Ave",24,1175
"NW 58th St Greenway at 22nd Ave",25,1076
"NW 58th St Greenway at 22nd Ave",26,1431
"NW 58th St Greenway at 22nd Ave",27,1298
"NW 58th St Greenway at 22nd Ave",28,1684
"NW 58th St Greenway at 22nd Ave",29,274
"NW 58th St Greenway at 22nd Ave",30,1
"NW 58th St Greenway at 22nd Ave",31,14
"NW 58th St Greenway at 22nd Ave",32,5
"NW 58th St Greenway at 22nd Ave",33,3
"NW 58th St Greenway at 22nd Ave",34,1
"NW 58th St Greenway at 22nd Ave",35,0
"NW 58th St Greenway at 22nd Ave",36,0
"NW 58th St Greenway at 22nd Ave",37,2903
"NW 58th St Greenway at 22nd Ave",38,1078
"NW 58th St Greenway at 22nd Ave",39,1100
"NW 58th St Greenway at 22nd Ave",40,1103
"NW 58th St Greenway at 22nd Ave",41,921
"NW 58th St Greenway at 22nd Ave",42,764
"NW 58th St Greenway at 22nd Ave",43,833
"NW 58th St Greenway at 22nd Ave",44,777
"NW 58th St Greenway at 22nd Ave",45,994
"NW 58th St Greenway at 22nd Ave",46,850
"NW 58th St Greenway at 22nd Ave",47,652
"NW 58th St Greenway at 22nd Ave",48,688
"NW 58th St Greenway at 22nd Ave",49,549
"NW 58th St Greenway at 22nd Ave",50,545
"NW 58th St Greenway at 22nd Ave",51,612
"NW 58th St Greenway at 22nd Ave",52,270
"NW 58th St Greenway at 22nd Ave",53,111
